# Work-stealing OFF vs ON — match() variant `nonsel` (43 queries)

match() forces the indexed/delegation (Lucene) path. Multi-partition; same build, only `datafusion.indexed.work_stealing` differs.

Correctness = byte-equal rows OFF vs ON (mismatches on `head`-without-total-sort are benign ties — verify the sort-key prefix).


| Query | rows(off) | rows(on) | match | off warm | on warm | on/off |
|---|---|---|---|---|---|---|
| q1 | 1 | 1 | ✅ | 0.0091 | 0.0083 | 0.91x |
| q2 | 1 | 1 | ✅ | 0.251 | 0.221 | 0.88x |
| q3 | 1 | 1 | ✅ | 0.4789 | 0.3407 | 0.71x |
| q4 | 1 | 1 | ✅ | 0.391 | 0.3257 | 0.83x |
| q5 | 1 | 1 | ✅ | 0.4655 | 0.437 | 0.94x |
| q6 | 1 | 1 | ✅ | 2.2404 | 2.5342 | 1.13x |
| q7 | 1 | 1 | ✅ | 0.1368 | 0.106 | 0.77x |
| q8 | 18 | 18 | ✅ | 0.239 | 0.2385 | 1.00x |
| q9 | 10 | 10 | ✅ | 1.9097 | 2.4558 | 1.29x |
| q10 | 10 | 10 | ✅ | 2.2538 | 2.4467 | 1.09x |
| q11 | 10 | 10 | ✅ | 0.702 | 0.7611 | 1.08x |
| q12 | 10 | 10 | ✅ | 0.718 | 0.6393 | 0.89x |
| q13 | 10 | 10 | ✅ | 1.0821 | 1.1217 | 1.04x |
| q14 | ERR | ERR | ⚠️ | None | None | - |
| q15 | ERR | ERR | ⚠️ | 9.7038 | 42.2137 | - |
| q16 | 10 | 10 | ✅ | 1.0408 | 1.121 | 1.08x |
| q17 | 10 | 10 | ✅ | 3.2097 | 2.1582 | 0.67x |
| q18 | 10 | 10 | ❌ | 2.8078 | 2.2571 | 0.80x |
| q19 | 10 | 10 | ✅ | 6.5998 | 5.571 | 0.84x |
| q20 | 4 | 4 | ✅ | 0.2929 | 0.3015 | 1.03x |
| q21 | 1 | 1 | ✅ | 2.3759 | 2.5223 | 1.06x |
| q22 | 10 | 10 | ❌ | 1.8883 | 2.233 | 1.18x |
| q23 | 10 | 10 | ✅ | 3.8919 | 5.0433 | 1.30x |
| q24 | 10 | 10 | ✅ | 11.694 | 15.6343 | 1.34x |
| q25 | 10 | 10 | ❌ | 0.3333 | 0.3198 | 0.96x |
| q26 | 10 | 10 | ✅ | 0.5341 | 0.6298 | 1.18x |
| q27 | 10 | 10 | ✅ | 0.3566 | 0.7059 | 1.98x |
| q28 | 25 | 25 | ✅ | 2.2862 | 2.4553 | 1.07x |
| q29 | 25 | 25 | ✅ | 17.5202 | 16.8208 | 0.96x |
| q30 | 1 | 1 | ✅ | 0.7958 | 0.7564 | 0.95x |
| q31 | 10 | 10 | ✅ | 1.3878 | 1.0352 | 0.75x |
| q32 | 10 | 10 | ❌ | 1.4343 | 1.4147 | 0.99x |
| q33 | 10 | 10 | ❌ | 5.0929 | 5.773 | 1.13x |
| q34 | 10 | 10 | ✅ | 6.2776 | 6.1277 | 0.98x |
| q35 | 10 | 10 | ✅ | 6.3055 | 7.3116 | 1.16x |
| q36 | 10 | 10 | ✅ | 1.1506 | 1.4422 | 1.25x |
| q37 | 10 | 10 | ✅ | 0.1358 | 0.1563 | 1.15x |
| q38 | 10 | 10 | ✅ | 0.0882 | 0.1321 | 1.50x |
| q39 | 10 | 10 | ❌ | 0.0843 | 0.1021 | 1.21x |
| q40 | 10 | 10 | ❌ | 0.2268 | 0.2804 | 1.24x |
| q41 | 10 | 10 | ❌ | 0.0569 | 0.067 | 1.18x |
| q42 | 10 | 10 | ✅ | 0.0524 | 0.0951 | 1.81x |
| q43 | 0 | 0 | ✅ | 0.1953 | 0.2182 | 1.12x |

**Flagged (mismatch or error): 10/43**  (inspect ❌ for benign LIMIT-ties vs real)
**Total warm: off=88.99s on=94.32s on/off=1.060x (ON slower 6.0%)**

