# Work-stealing OFF vs ON — match() variant `sel` (43 queries)

match() forces the indexed/delegation (Lucene) path. Multi-partition; same build, only `datafusion.indexed.work_stealing` differs.

Correctness = byte-equal rows OFF vs ON (mismatches on `head`-without-total-sort are benign ties — verify the sort-key prefix).


| Query | rows(off) | rows(on) | match | off warm | on warm | on/off |
|---|---|---|---|---|---|---|
| q1 | 1 | 1 | ✅ | 0.0091 | 0.009 | 0.99x |
| q2 | 1 | 1 | ✅ | 0.0448 | 0.048 | 1.07x |
| q3 | 1 | 1 | ✅ | 0.0446 | 0.0433 | 0.97x |
| q4 | 1 | 1 | ✅ | 0.0686 | 0.0909 | 1.33x |
| q5 | 1 | 1 | ✅ | 0.086 | 0.1098 | 1.28x |
| q6 | 1 | 1 | ✅ | 2.9176 | 2.0557 | 0.70x |
| q7 | 1 | 1 | ✅ | 0.034 | 0.0409 | 1.20x |
| q8 | 3 | 3 | ✅ | 0.0466 | 0.0503 | 1.08x |
| q9 | 10 | 10 | ✅ | 0.1013 | 0.1079 | 1.07x |
| q10 | 10 | 10 | ✅ | 0.1353 | 0.1221 | 0.90x |
| q11 | 10 | 10 | ✅ | 0.2117 | 0.1852 | 0.87x |
| q12 | 10 | 10 | ❌ | 0.1961 | 0.1645 | 0.84x |
| q13 | 10 | 10 | ❌ | 0.279 | 0.2411 | 0.86x |
| q14 | 10 | 10 | ✅ | 0.3031 | 0.2711 | 0.89x |
| q15 | 10 | 10 | ✅ | 0.2531 | 0.2698 | 1.07x |
| q16 | 10 | 10 | ✅ | 0.0812 | 0.0895 | 1.10x |
| q17 | 10 | 10 | ❌ | 0.2031 | 0.1721 | 0.85x |
| q18 | 10 | 10 | ❌ | 0.1973 | 0.1938 | 0.98x |
| q19 | 10 | 10 | ✅ | 0.2942 | 0.3002 | 1.02x |
| q20 | 0 | 0 | ✅ | 0.0837 | 0.1191 | 1.42x |
| q21 | 1 | 1 | ✅ | 0.9015 | 0.993 | 1.10x |
| q22 | 1 | 1 | ✅ | 0.4215 | 0.4273 | 1.01x |
| q23 | 0 | 0 | ✅ | 0.993 | 0.4943 | 0.50x |
| q24 | 5 | 5 | ✅ | 0.7755 | 1.1722 | 1.51x |
| q25 | 10 | 10 | ✅ | 0.1881 | 0.1643 | 0.87x |
| q26 | 10 | 10 | ✅ | 0.2315 | 0.2667 | 1.15x |
| q27 | 10 | 10 | ✅ | 0.1917 | 0.1594 | 0.83x |
| q28 | 25 | 25 | ✅ | 2.6832 | 2.2022 | 0.82x |
| q29 | 25 | 25 | ✅ | 17.3769 | 16.3754 | 0.94x |
| q30 | 1 | 1 | ✅ | 0.0569 | 0.0587 | 1.03x |
| q31 | 10 | 10 | ❌ | 0.2537 | 0.3554 | 1.40x |
| q32 | 10 | 10 | ❌ | 0.2804 | 0.3389 | 1.21x |
| q33 | 10 | 10 | ❌ | 0.1682 | 0.1776 | 1.06x |
| q34 | 10 | 10 | ✅ | 0.5923 | 0.5388 | 0.91x |
| q35 | 10 | 10 | ✅ | 0.5337 | 0.4866 | 0.91x |
| q36 | 10 | 10 | ✅ | 0.0863 | 0.058 | 0.67x |
| q37 | 10 | 10 | ✅ | 0.0699 | 0.0529 | 0.76x |
| q38 | 10 | 10 | ✅ | 0.0811 | 0.0388 | 0.48x |
| q39 | 0 | 0 | ✅ | 0.0538 | 0.051 | 0.95x |
| q40 | 0 | 0 | ✅ | 0.07 | 0.0731 | 1.04x |
| q41 | 0 | 0 | ✅ | 0.0625 | 0.0445 | 0.71x |
| q42 | 0 | 0 | ✅ | 0.04 | 0.0459 | 1.15x |
| q43 | 0 | 0 | ✅ | 0.0499 | 0.0509 | 1.02x |

**Flagged (mismatch or error): 7/43**  (inspect ❌ for benign LIMIT-ties vs real)
**Total warm: off=31.75s on=29.31s on/off=0.923x (ON faster 7.7%)**

