  q1: warmup= 0.031s warm=  0.009s rows=1 OK
  q2: warmup= 0.057s warm=  0.045s rows=1 OK
  q3: warmup= 0.063s warm=  0.045s rows=1 OK
  q4: warmup= 0.111s warm=  0.069s rows=1 OK
  q5: warmup= 0.094s warm=  0.086s rows=1 OK
  q6: warmup= 2.319s warm=  2.918s rows=1 OK
  q7: warmup= 0.055s warm=  0.034s rows=1 OK
  q8: warmup= 0.058s warm=  0.047s rows=3 OK
  q9: warmup= 0.128s warm=  0.101s rows=10 OK
 q10: warmup= 0.120s warm=  0.135s rows=10 OK
 q11: warmup= 0.221s warm=  0.212s rows=10 OK
 q12: warmup= 0.216s warm=  0.196s rows=10 OK
 q13: warmup= 0.247s warm=  0.279s rows=10 OK
 q14: warmup= 0.340s warm=  0.303s rows=10 OK
 q15: warmup= 0.269s warm=  0.253s rows=10 OK
 q16: warmup= 0.091s warm=  0.081s rows=10 OK
 q17: warmup= 0.191s warm=  0.203s rows=10 OK
 q18: warmup= 0.203s warm=  0.197s rows=10 OK
 q19: warmup= 0.343s warm=  0.294s rows=10 OK
 q20: warmup= 0.101s warm=  0.084s rows=0 OK
 q21: warmup= 1.157s warm=  0.902s rows=1 OK
 q22: warmup= 0.482s warm=  0.421s rows=1 OK
 q23: warmup= 0.635s warm=  0.993s rows=0 OK
 q24: warmup= 0.857s warm=  0.776s rows=5 OK
 q25: warmup= 0.184s warm=  0.188s rows=10 OK
 q26: warmup= 0.258s warm=  0.231s rows=10 OK
 q27: warmup= 0.210s warm=  0.192s rows=10 OK
 q28: warmup= 2.219s warm=  2.683s rows=25 OK
 q29: warmup=18.398s warm= 17.377s rows=25 OK
 q30: warmup= 0.091s warm=  0.057s rows=1 OK
 q31: warmup= 0.299s warm=  0.254s rows=10 OK
 q32: warmup= 0.345s warm=  0.280s rows=10 OK
 q33: warmup= 0.211s warm=  0.168s rows=10 OK
 q34: warmup= 0.646s warm=  0.592s rows=10 OK
 q35: warmup= 0.607s warm=  0.534s rows=10 OK
 q36: warmup= 0.164s warm=  0.086s rows=10 OK
 q37: warmup= 0.087s warm=  0.070s rows=10 OK
 q38: warmup= 0.062s warm=  0.081s rows=10 OK
 q39: warmup= 0.043s warm=  0.054s rows=0 OK
 q40: warmup= 0.093s warm=  0.070s rows=0 OK
 q41: warmup= 0.055s warm=  0.063s rows=0 OK
 q42: warmup= 0.042s warm=  0.040s rows=0 OK
 q43: warmup= 0.041s warm=  0.050s rows=0 OK
wrote /Users/gbh/Documents/dev/OpenSearch/sandbox/plugins/analytics-backend-datafusion/rust/docs/work-stealing-match-ab-results/p8/sel/bench_off.json
