  q1: warmup= 0.029s warm=  0.009s rows=1 OK
  q2: warmup= 0.062s warm=  0.048s rows=1 OK
  q3: warmup= 0.045s warm=  0.043s rows=1 OK
  q4: warmup= 0.176s warm=  0.091s rows=1 OK
  q5: warmup= 0.118s warm=  0.110s rows=1 OK
  q6: warmup= 2.408s warm=  2.056s rows=1 OK
  q7: warmup= 0.046s warm=  0.041s rows=1 OK
  q8: warmup= 0.053s warm=  0.050s rows=3 OK
  q9: warmup= 0.143s warm=  0.108s rows=10 OK
 q10: warmup= 0.114s warm=  0.122s rows=10 OK
 q11: warmup= 0.171s warm=  0.185s rows=10 OK
 q12: warmup= 0.171s warm=  0.164s rows=10 OK
 q13: warmup= 0.254s warm=  0.241s rows=10 OK
 q14: warmup= 0.292s warm=  0.271s rows=10 OK
 q15: warmup= 0.250s warm=  0.270s rows=10 OK
 q16: warmup= 0.076s warm=  0.089s rows=10 OK
 q17: warmup= 0.209s warm=  0.172s rows=10 OK
 q18: warmup= 0.180s warm=  0.194s rows=10 OK
 q19: warmup= 0.281s warm=  0.300s rows=10 OK
 q20: warmup= 0.120s warm=  0.119s rows=0 OK
 q21: warmup= 1.116s warm=  0.993s rows=1 OK
 q22: warmup= 0.558s warm=  0.427s rows=1 OK
 q23: warmup= 0.512s warm=  0.494s rows=0 OK
 q24: warmup= 0.889s warm=  1.172s rows=5 OK
 q25: warmup= 0.209s warm=  0.164s rows=10 OK
 q26: warmup= 0.223s warm=  0.267s rows=10 OK
 q27: warmup= 0.163s warm=  0.159s rows=10 OK
 q28: warmup= 2.197s warm=  2.202s rows=25 OK
 q29: warmup=16.787s warm= 16.375s rows=25 OK
 q30: warmup= 0.096s warm=  0.059s rows=1 OK
 q31: warmup= 0.438s warm=  0.355s rows=10 OK
 q32: warmup= 0.342s warm=  0.339s rows=10 OK
 q33: warmup= 0.242s warm=  0.178s rows=10 OK
 q34: warmup= 0.565s warm=  0.539s rows=10 OK
 q35: warmup= 0.551s warm=  0.487s rows=10 OK
 q36: warmup= 0.103s warm=  0.058s rows=10 OK
 q37: warmup= 0.061s warm=  0.053s rows=10 OK
 q38: warmup= 0.042s warm=  0.039s rows=10 OK
 q39: warmup= 0.040s warm=  0.051s rows=0 OK
 q40: warmup= 0.068s warm=  0.073s rows=0 OK
 q41: warmup= 0.068s warm=  0.045s rows=0 OK
 q42: warmup= 0.050s warm=  0.046s rows=0 OK
 q43: warmup= 0.041s warm=  0.051s rows=0 OK
wrote /Users/gbh/Documents/dev/OpenSearch/sandbox/plugins/analytics-backend-datafusion/rust/docs/work-stealing-match-ab-results/p8/sel/bench_on.json
